Date - Time,Temperature (°C),Humidity (%),Wind speed (km/h),Wind direction,Sky conditions
06/06/2024--15:00:00,33.0,36.0,16.0,E,Partly Cloudy 
06/06/2024--18:00:00,33.0,33.0,16.0,NE,Cloudy 
06/06/2024--21:00:00,23.0,78.0,24.0,N,Rain 
07/06/2024--00:00:00,23.0,69.0,24.0,N,Clear 
07/06/2024--03:00:00,22.0,69.0,24.0,N,Clear 
07/06/2024--06:00:00,22.0,71.0,35.0,N,Clear 
07/06/2024--09:00:00,26.0,51.0,35.0,N,Clear 
07/06/2024--12:00:00,32.0,37.0,24.0,N,Clear 
07/06/2024--15:00:00,34.0,32.0,24.0,N,Clear 
07/06/2024--18:00:00,33.0,31.0,24.0,N,Clear 
07/06/2024--21:00:00,28.0,41.0,24.0,N,Clear 
08/06/2024--00:00:00,26.0,44.0,35.0,N,Clear 
08/06/2024--03:00:00,25.0,40.0,24.0,N,Clear 
08/06/2024--06:00:00,24.0,45.0,24.0,N,Clear 
08/06/2024--09:00:00,29.0,35.0,35.0,N,Clear 
08/06/2024--12:00:00,33.0,30.0,35.0,N,Clear 
08/06/2024--15:00:00,34.0,28.0,35.0,N,Clear 
08/06/2024--18:00:00,33.0,29.0,24.0,N,Clear 
08/06/2024--21:00:00,28.0,41.0,16.0,N,Clear 
09/06/2024--00:00:00,24.0,50.0,16.0,N,Few Clouds 
09/06/2024--03:00:00,24.0,51.0,16.0,N,Thin Clouds 
09/06/2024--06:00:00,23.0,51.0,16.0,N,Clear 
09/06/2024--09:00:00,30.0,34.0,24.0,N,Clear 
09/06/2024--12:00:00,34.0,29.0,24.0,N,Clear 
09/06/2024--15:00:00,36.0,26.0,24.0,N,Clear 
09/06/2024--18:00:00,35.0,27.0,24.0,N,Thin Clouds 
09/06/2024--21:00:00,29.0,38.0,16.0,N,Thin Clouds 
10/06/2024--00:00:00,26.0,46.0,16.0,N,Thin Clouds 
10/06/2024--03:00:00,25.0,50.0,16.0,N,Clear 
10/06/2024--06:00:00,24.0,47.0,16.0,N,Clear 
10/06/2024--09:00:00,32.0,27.0,16.0,N,Clear 
10/06/2024--12:00:00,36.0,23.0,9.0,N,Clear 
10/06/2024--15:00:00,39.0,21.0,9.0,SW,Thin Clouds 
10/06/2024--18:00:00,35.0,21.0,24.0,S,Clear 
10/06/2024--21:00:00,29.0,42.0,3.0,SE,Clear 
11/06/2024--00:00:00,26.0,46.0,9.0,N,Clear 
11/06/2024--03:00:00,25.0,48.0,16.0,NW,Clear 
11/06/2024--06:00:00,26.0,47.0,16.0,N,Thin Clouds 
11/06/2024--09:00:00,34.0,36.0,9.0,NW,Clear 
11/06/2024--12:00:00,40.0,20.0,16.0,S,Thin Clouds 
11/06/2024--15:00:00,42.0,13.0,24.0,W,Clear 
11/06/2024--18:00:00,40.0,17.0,35.0,W,Thin Clouds 
11/06/2024--21:00:00,34.0,29.0,16.0,NW,Clear 
12/06/2024--00:00:00,30.0,32.0,16.0,NW,Clear 
12/06/2024--03:00:00,29.0,23.0,16.0,N,Few Clouds 
